"","Genus","Species"
"Otu0001",NA,NA
"Otu0002","Ruegeria","atlantica/lacuscaerulensis/pomeroyi"
"Otu0003",NA,NA
"Otu0004",NA,NA
"Otu0006","Pelagibius","litoralis"
"Otu0007",NA,NA
"Otu0008",NA,NA
"Otu0009",NA,NA
"Otu0011",NA,NA
"Otu0012",NA,NA
"Otu0013",NA,NA
"Otu0014",NA,NA
"Otu0015",NA,"elongatum/zhejiangensis"
"Otu0016",NA,NA
"Otu0017",NA,NA
"Otu0018",NA,NA
"Otu0022",NA,NA
"Otu0023",NA,NA
"Otu0024",NA,NA
"Otu0026",NA,NA
"Otu0027",NA,NA
"Otu0028",NA,NA
"Otu0030","Alteromonas","alvinellae/australica/gracilis/litorea/macleodii/marina/mediterranea/simiduii/tagae"
"Otu0031",NA,NA
"Otu0032",NA,NA
"Otu0033","Pseudoalteromonas","aestuariivivens/agarivorans/arabiensis/atlantica/carrageenovora/chazhmella/distincta/donghaensis/elyakovii/espejiana/ganghwensis/gelatinilytica/haloplanktis/hodoensis/issachenkonii/lipolytica/luteoviolacea/mariniglutinosa/nigrifaciens/paragorgicola/porphyrae/profundi/prydzensis/shioyasakiensis/telluritireducens/tetraodonis/undina/whanghaensis/xishaensis"
"Otu0034",NA,NA
"Otu0035",NA,NA
"Otu0036",NA,NA
"Otu0037",NA,NA
"Otu0038",NA,NA
"Otu0039",NA,NA
"Otu0040",NA,NA
"Otu0041",NA,NA
"Otu0042",NA,NA
"Otu0043","Thalassotalea","agarivorans/euphylliae/montiporae"
"Otu0044",NA,NA
"Otu0045",NA,NA
"Otu0046",NA,NA
"Otu0047",NA,NA
"Otu0048",NA,NA
"Otu0049",NA,NA
"Otu0050",NA,NA
"Otu0051","Lentilitoribacter","donghaensis"
"Otu0052",NA,NA
"Otu0053",NA,NA
"Otu0054",NA,NA
"Otu0055","Vibrio","Parahaemolyticus/alfacsensis/alginolyticus/algoinfesta/antiquarius/atypicus/azureus/brasiliensis/campbellii/caribbeanicus/coralliilyticus/diabolicus/equitatus/europaeus/galatheae/gallicus/harveyi/hepatarius/ichthyoenteri/natriegens/neptunius/owensii/parahaemolyticus/ponticus/rotiferianus/sagamiensis/scophthalmi/sinaloensis/tapetis/tubiashii/variabilis/xuii"
"Otu0056",NA,NA
"Otu0057",NA,NA
"Otu0058",NA,NA
"Otu0059",NA,NA
"Otu0060",NA,NA
"Otu0061",NA,NA
"Otu0062",NA,NA
"Otu0064","Shimia","isoporae/marina"
"Otu0065",NA,NA
"Otu0066","Acinetobacter","baumannii/beijerinckii/bereziniae/calcoaceticus/courvalinii/gerneri/guillouiae/gyllenbergii/indicus/johnsonii/junii/lwoffii/modestus/parvus/plantarum/proteolyticus/vivianii"
"Otu0068",NA,NA
"Otu0070","Aquimarina","salinaria"
"Otu0071",NA,NA
"Otu0073",NA,"alba/denhamense/marina"
"Otu0074",NA,NA
"Otu0075",NA,NA
"Otu0076","Staphylococcus","argenteus/aureus/capitis/caprae/devriesei/epidermidis/equorum/haemolyticus/hominis/lugdunensis/pasteuri/petrasii/phage/saccharolyticus/schweitzeri/simiae/warneri"
"Otu0077",NA,NA
"Otu0078",NA,NA
"Otu0079",NA,NA
"Otu0082",NA,NA
"Otu0083","Aquimarina","litoralis"
"Otu0084","Bacillus","altitudinis/amyloliquefaciens/firmus/halotolerans/licheniformis/mojavensis/siamensis/subtilis/tequilensis/timonensis/vallismortis/velezensis"
"Otu0085",NA,NA
"Otu0086",NA,NA
"Otu0087",NA,NA
"Otu0089",NA,NA
"Otu0090",NA,NA
"Otu0091",NA,NA
"Otu0092",NA,NA
"Otu0093",NA,NA
"Otu0094",NA,NA
"Otu0096",NA,NA
"Otu0097",NA,NA
"Otu0098",NA,NA
"Otu0099",NA,NA
"Otu0100",NA,NA
"Otu0101","Listeria","innocua/ivanovii/marthii/monocytogenes/phage/seeligeri/welshimeri"
"Otu0102",NA,NA
"Otu0103",NA,NA
"Otu0104",NA,NA
"Otu0105",NA,NA
"Otu0106",NA,NA
