"","Genus","Species"
"Otu0001","Ruegeria","atlantica/lacuscaerulensis/pomeroyi"
"Otu0002",NA,NA
"Otu0003",NA,NA
"Otu0004",NA,NA
"Otu0005",NA,NA
"Otu0007","Pelagibius","litoralis"
"Otu0008",NA,NA
"Otu0009",NA,NA
"Otu0010",NA,NA
"Otu0011","Sagittula","stellata"
"Otu0013",NA,NA
"Otu0016",NA,NA
"Otu0017",NA,NA
"Otu0019",NA,NA
"Otu0021",NA,NA
"Otu0022",NA,NA
"Otu0026",NA,NA
"Otu0029",NA,"elongatum/zhejiangensis"
"Otu0030",NA,NA
"Otu0032",NA,NA
"Otu0033",NA,NA
"Otu0034",NA,NA
"Otu0036",NA,NA
"Otu0037","Alteromonas","alvinellae/australica/gracilis/litorea/macleodii/marina/mediterranea/simiduii/tagae"
"Otu0038",NA,NA
"Otu0039",NA,NA
"Otu0040",NA,NA
"Otu0041",NA,NA
"Otu0042",NA,NA
"Otu0043",NA,NA
"Otu0046",NA,NA
"Otu0047",NA,NA
"Otu0048",NA,NA
"Otu0049","Lentilitoribacter","donghaensis"
"Otu0050",NA,NA
"Otu0051",NA,NA
"Otu0052",NA,NA
"Otu0053","Pseudoalteromonas","aestuariivivens/agarivorans/arabiensis/atlantica/carrageenovora/chazhmella/distincta/donghaensis/elyakovii/espejiana/ganghwensis/gelatinilytica/haloplanktis/hodoensis/issachenkonii/lipolytica/luteoviolacea/mariniglutinosa/nigrifaciens/paragorgicola/porphyrae/profundi/prydzensis/shioyasakiensis/telluritireducens/tetraodonis/undina/whanghaensis/xishaensis"
"Otu0055",NA,NA
"Otu0057",NA,NA
"Otu0058",NA,NA
"Otu0059","Acinetobacter","baumannii/beijerinckii/bereziniae/calcoaceticus/courvalinii/gerneri/guillouiae/gyllenbergii/indicus/johnsonii/junii/lwoffii/modestus/parvus/plantarum/proteolyticus/vivianii"
"Otu0060","Aquimarina","salinaria"
"Otu0062",NA,NA
"Otu0063",NA,NA
"Otu0064",NA,NA
"Otu0065",NA,NA
"Otu0066","Vibrio","Parahaemolyticus/alfacsensis/alginolyticus/algoinfesta/antiquarius/atypicus/azureus/brasiliensis/campbellii/caribbeanicus/coralliilyticus/diabolicus/equitatus/europaeus/galatheae/gallicus/harveyi/hepatarius/ichthyoenteri/natriegens/neptunius/owensii/parahaemolyticus/ponticus/rotiferianus/sagamiensis/scophthalmi/sinaloensis/tapetis/tubiashii/variabilis/xuii"
"Otu0067",NA,NA
"Otu0068","Staphylococcus","argenteus/aureus/capitis/caprae/devriesei/epidermidis/equorum/haemolyticus/hominis/lugdunensis/pasteuri/petrasii/phage/saccharolyticus/schweitzeri/simiae/warneri"
"Otu0069",NA,NA
"Otu0070",NA,NA
"Otu0072","Thalassotalea","agarivorans/euphylliae/montiporae"
"Otu0073",NA,NA
"Otu0074","Bacillus","altitudinis/amyloliquefaciens/firmus/halotolerans/licheniformis/mojavensis/siamensis/subtilis/tequilensis/timonensis/vallismortis/velezensis"
"Otu0076",NA,NA
"Otu0077",NA,NA
"Otu0078",NA,NA
"Otu0079",NA,NA
"Otu0080",NA,NA
"Otu0081","Aquimarina","litoralis"
"Otu0082",NA,NA
"Otu0083",NA,NA
"Otu0084",NA,NA
"Otu0085",NA,NA
"Otu0086",NA,NA
"Otu0087",NA,NA
"Otu0088","Ahrensia","kielensis/marina"
"Otu0089","Shimia","isoporae/marina"
"Otu0090",NA,NA
"Otu0091",NA,NA
"Otu0092",NA,NA
"Otu0094",NA,NA
"Otu0096",NA,NA
"Otu0097",NA,NA
"Otu0098",NA,NA
"Otu0099","Listeria","innocua/ivanovii/marthii/monocytogenes/phage/seeligeri/welshimeri"
"Otu0100",NA,NA
"Otu0101",NA,NA
"Otu0102",NA,NA
"Otu0103",NA,NA
"Otu0104",NA,NA
"Otu0105",NA,NA
"Otu0106",NA,"amalonaticus/cloacae/enterica/freundii/intermedia/phage/regensburgei"
"Otu0107",NA,NA
"Otu0108",NA,NA
"Otu0109",NA,NA
"Otu0110",NA,NA
"Otu0111",NA,NA
"Otu0112",NA,"albertii/boydii/coli/dysenteriae/enterica/fergusonii/flexneri/marmotae/sonnei/vulneris"
"Otu0113",NA,NA
"Otu0114","Marivita","byunsanensis"
"Otu0115",NA,NA
"Otu0116",NA,NA
"Otu0117",NA,NA
"Otu0118",NA,NA
"Otu0119",NA,NA
"Otu0120",NA,NA
"Otu0122",NA,NA
"Otu0123",NA,NA
"Otu0124",NA,NA
"Otu0125",NA,NA
"Otu0126",NA,NA
"Otu0127",NA,NA
"Otu0128",NA,NA
"Otu0129","Marinicella","litoralis"
"Otu0130",NA,NA
"Otu0131","Fangia","hongkongensis"
"Otu0132",NA,NA
"Otu0133",NA,NA
"Otu0134","Pseudoalteromonas","ruthenica"
"Otu0135",NA,NA
"Otu0136",NA,NA
"Otu0137",NA,"alba/atlantica/mediterraneus/phaeodactyli"
"Otu0138",NA,NA
"Otu0140",NA,NA
"Otu0141",NA,NA
"Otu0142",NA,NA
"Otu0143",NA,NA
"Otu0144",NA,NA
"Otu0145",NA,NA
"Otu0146",NA,NA
"Otu0147",NA,NA
"Otu0148",NA,"azikeevi/canintestini/canis/dispar/durans/faecalis/faecium/hirae/lactis/mundtii/olivae/pernyi/plantarum/raffinosus/ratti/rivorum/saigonensis/thailandicus/villorum"
"Otu0150",NA,NA
"Otu0151",NA,NA
"Otu0152","Psychroserpens","damuponensis"
"Otu0153",NA,NA
"Otu0154",NA,NA
"Otu0155",NA,NA
"Otu0156",NA,NA
"Otu0157",NA,NA
"Otu0158",NA,NA
"Otu0159",NA,NA
"Otu0160",NA,NA
"Otu0161",NA,"albidus/algarum/ascidiaceicola/halocynthiae/janthinus/meonggei/ponti"
"Otu0162",NA,NA
"Otu0163",NA,NA
"Otu0164",NA,NA
"Otu0165",NA,NA
"Otu0166",NA,NA
"Otu0167","Pseudomonas","aeruginosa/denitrificans/fluorescens/mendocina/otitidis/protegens/putida/tropicalis"
"Otu0168",NA,NA
"Otu0170",NA,NA
"Otu0171",NA,NA
"Otu0172",NA,NA
"Otu0175",NA,NA
"Otu0176",NA,NA
"Otu0177",NA,NA
"Otu0178",NA,NA
"Otu0179",NA,NA
"Otu0180",NA,NA
"Otu0181",NA,"alba/denhamense/marina"
"Otu0182",NA,NA
"Otu0183",NA,NA
"Otu0184",NA,NA
"Otu0185",NA,NA
"Otu0186","Lactobacillus","delbrueckii/fermentum/ingluviei/oris/parabuchneri/plantarum"
"Otu0187",NA,NA
"Otu0188",NA,NA
"Otu0189",NA,NA
"Otu0190",NA,NA
"Otu0191",NA,NA
"Otu0192",NA,NA
"Otu0193",NA,NA
"Otu0195","Muricauda","pacifica"
"Otu0196",NA,NA
"Otu0197",NA,NA
"Otu0199","Sphingobium","amiense/limneticum/yanoikuyae"
"Otu0200",NA,NA
"Otu0201",NA,NA
"Otu0202",NA,NA
"Otu0203",NA,NA
"Otu0204",NA,NA
"Otu0205",NA,NA
"Otu0206",NA,NA
"Otu0207",NA,NA
"Otu0208",NA,NA
"Otu0209",NA,NA
"Otu0210",NA,NA
"Otu0211",NA,NA
"Otu0212",NA,NA
"Otu0213",NA,NA
"Otu0215",NA,NA
"Otu0216",NA,NA
"Otu0217",NA,NA
"Otu0218",NA,NA
"Otu0219",NA,NA
"Otu0220","Acanthopleuribacter","pedis"
"Otu0221",NA,NA
"Otu0222",NA,NA
"Otu0223","Ekhidna","lutea"
"Otu0224",NA,NA
"Otu0225",NA,NA
"Otu0226",NA,NA
"Otu0227",NA,NA
"Otu0228",NA,NA
"Otu0229",NA,NA
"Otu0230",NA,NA
"Otu0231",NA,NA
"Otu0232",NA,NA
"Otu0233",NA,NA
"Otu0234",NA,NA
"Otu0235",NA,NA
"Otu0236",NA,NA
"Otu0237",NA,NA
"Otu0238",NA,NA
"Otu0239",NA,NA
"Otu0240",NA,NA
"Otu0241",NA,NA
"Otu0242",NA,NA
"Otu0243",NA,NA
"Otu0245",NA,NA
"Otu0246",NA,NA
"Otu0247",NA,NA
"Otu0248",NA,NA
"Otu0249",NA,NA
"Otu0250",NA,NA
"Otu0251",NA,NA
"Otu0252",NA,NA
"Otu0253",NA,NA
"Otu0254","Thalassotalea","ganghwensis"
"Otu0255",NA,NA
"Otu0256",NA,NA
"Otu0257",NA,NA
"Otu0258",NA,NA
"Otu0260",NA,NA
"Otu0261",NA,NA
"Otu0262",NA,NA
"Otu0263","Acaryochloris","marina"
"Otu0264",NA,NA
"Otu0266","Ruegeria","marina"
"Otu0267",NA,NA
"Otu0268",NA,NA
"Otu0269",NA,NA
"Otu0270",NA,NA
"Otu0271",NA,NA
"Otu0273",NA,NA
"Otu0274",NA,NA
"Otu0275",NA,NA
"Otu0278",NA,NA
"Otu0279",NA,NA
"Otu0280",NA,NA
"Otu0281",NA,NA
"Otu0283",NA,NA
"Otu0284",NA,NA
"Otu0285",NA,NA
"Otu0286",NA,NA
"Otu0287",NA,NA
"Otu0288",NA,NA
"Otu0289",NA,NA
"Otu0290",NA,NA
"Otu0291","Bacillus","marmarensis/pseudofirmus"
"Otu0293",NA,NA
"Otu0294",NA,NA
"Otu0295",NA,NA
"Otu0296","Polymorphum","gilvum"
"Otu0297",NA,NA
"Otu0298",NA,NA
"Otu0299",NA,NA
"Otu0300",NA,NA
"Otu0302",NA,NA
"Otu0303",NA,NA
"Otu0305",NA,NA
"Otu0306",NA,NA
"Otu0307",NA,NA
"Otu0308",NA,NA
"Otu0309",NA,NA
"Otu0311",NA,NA
"Otu0312",NA,NA
"Otu0314",NA,NA
"Otu0315",NA,NA
"Otu0316",NA,NA
"Otu0317","Halomonas","boliviensis/campaniensis/chromatireducens/denitrificans/desiderata/huangheensis/kenyensis/nitrilicus/nitritophilus/pacifica/phoceae/qiaohouensis/saccharevitans/salifodinae/salina/urumqiensis/ventosae"
"Otu0318",NA,NA
"Otu0319",NA,NA
"Otu0320",NA,NA
"Otu0321",NA,NA
"Otu0322",NA,NA
"Otu0323",NA,NA
"Otu0324",NA,NA
"Otu0325",NA,NA
"Otu0326",NA,NA
"Otu0327",NA,NA
"Otu0328",NA,NA
"Otu0329",NA,NA
"Otu0330",NA,NA
"Otu0331","Photobacterium","aquae/gaetbulicola/panuliri/phosphoreum/rosenbergii/sanctipauli"
"Otu0332",NA,NA
"Otu0333",NA,NA
"Otu0334",NA,NA
