	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-Clustering_97	9-TaxaFilter_97	10-MultipletonsFilter_97	11-Subsampling	12-Lulu_97
APAL257b_S322_L001	32646	25398	25398	25398 (6273 uniques)	25304 (105 uniques)	25012 (83 uniques)	23140 (75 uniques)	23083 (74 uniques)	23083 (74 uniques)	23083 (69 uniques)	2791 (64 uniques)	2791 (64 uniques)	2791 (64 uniques)	2791 (64 uniques)
APAL257c_S334_L001	61999	48542	48542	48542 (9680 uniques)	48429 (60 uniques)	48201 (55 uniques)	45881 (46 uniques)	45849 (45 uniques)	45849 (45 uniques)	45849 (41 uniques)	3813 (34 uniques)	3813 (34 uniques)	3813 (34 uniques)	3813 (34 uniques)
APAL270b_S325_L001	36715	30250	30250	30250 (5772 uniques)	30124 (54 uniques)	29988 (42 uniques)	29969 (41 uniques)	29628 (37 uniques)	29628 (37 uniques)	29628 (34 uniques)	23912 (31 uniques)	23912 (31 uniques)	23912 (31 uniques)	23912 (31 uniques)
APAL270c_S337_L001	51394	41079	41079	41079 (8843 uniques)	40940 (54 uniques)	40840 (50 uniques)	40805 (48 uniques)	40432 (43 uniques)	40432 (43 uniques)	40432 (42 uniques)	32182 (39 uniques)	32182 (39 uniques)	32182 (39 uniques)	32182 (39 uniques)
APAL288b_S320_L001	38307	30044	30044	30044 (7526 uniques)	29882 (76 uniques)	29619 (64 uniques)	28881 (58 uniques)	28513 (53 uniques)	28513 (53 uniques)	28513 (45 uniques)	21807 (42 uniques)	21805 (41 uniques)	21805 (41 uniques)	21805 (41 uniques)
APAL288c_S332_L001	38619	31107	31107	31107 (8253 uniques)	30984 (59 uniques)	30820 (53 uniques)	29825 (47 uniques)	29585 (43 uniques)	29585 (43 uniques)	29585 (37 uniques)	21826 (36 uniques)	21826 (36 uniques)	21826 (36 uniques)	21826 (36 uniques)
APAL297b_S330_L001	39164	31085	31085	31085 (8131 uniques)	30875 (101 uniques)	30463 (76 uniques)	29688 (68 uniques)	29236 (63 uniques)	29236 (63 uniques)	29236 (53 uniques)	18244 (46 uniques)	18244 (46 uniques)	18244 (46 uniques)	18244 (46 uniques)
APAL297c_S342_L001	354	269	269	269 (120 uniques)	246 (3 uniques)	246 (3 uniques)	246 (3 uniques)	246 (3 uniques)	246 (3 uniques)	246 (2 uniques)	145 (1 uniques)	145 (1 uniques)	145 (1 uniques)	145 (1 uniques)
APAL305b_S331_L001	37685	27811	27811	27811 (6764 uniques)	27662 (113 uniques)	27204 (92 uniques)	27136 (88 uniques)	26763 (81 uniques)	26763 (81 uniques)	26763 (72 uniques)	2542 (62 uniques)	2542 (62 uniques)	2542 (62 uniques)	2542 (62 uniques)
APAL305c_S343_L001	45952	34025	34025	34025 (8786 uniques)	33869 (116 uniques)	33400 (99 uniques)	33245 (95 uniques)	32953 (87 uniques)	32953 (87 uniques)	32953 (77 uniques)	4125 (68 uniques)	4125 (68 uniques)	4125 (68 uniques)	4125 (68 uniques)
