	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-Clustering_99	9-TaxaFilter_99	10-MultipletonsFilter_99	11-Subsampling	12-Lulu_99
NTC2P4_S308_L001	1852	1481	1481	1481 (593 uniques)	1471 (5 uniques)	1469 (5 uniques)	1469 (5 uniques)	1469 (5 uniques)	1469 (5 uniques)	1469 (3 uniques)	1469 (3 uniques)	1469 (3 uniques)	1469 (3 uniques)	1469 (3 uniques)
OFAV_HEALTHY_CONTROL_1_S157_L001	50619	39065	39065	39065 (16393 uniques)	38882 (74 uniques)	38344 (135 uniques)	8890 (39 uniques)	8890 (39 uniques)	8890 (39 uniques)	8890 (39 uniques)	6837 (32 uniques)	6837 (32 uniques)	6837 (32 uniques)	6837 (32 uniques)
OFAV_HEALTHY_CONTROL_2_S156_L001	62245	49282	49282	49282 (18053 uniques)	49139 (104 uniques)	48751 (160 uniques)	19326 (61 uniques)	19306 (59 uniques)	19306 (59 uniques)	19306 (57 uniques)	19129 (52 uniques)	19129 (52 uniques)	19129 (52 uniques)	19129 (52 uniques)
PSTR_DISEASE_3_16_23_S155_L001	65455	51008	51008	51008 (22140 uniques)	50622 (371 uniques)	49628 (370 uniques)	21902 (270 uniques)	21902 (270 uniques)	21902 (270 uniques)	21902 (261 uniques)	11424 (230 uniques)	11422 (229 uniques)	11422 (229 uniques)	11422 (226 uniques)
PSTR_DISEASE_3_9_23_S154_L001	59270	45301	45301	45301 (18436 uniques)	44382 (292 uniques)	42038 (277 uniques)	40412 (203 uniques)	40236 (199 uniques)	40236 (199 uniques)	40236 (192 uniques)	35622 (169 uniques)	35618 (167 uniques)	35618 (167 uniques)	35618 (163 uniques)
PSTR_HEALTHY_CONTROL_S158_L001	45196	34593	34593	34593 (14669 uniques)	34455 (61 uniques)	34069 (124 uniques)	4452 (27 uniques)	4452 (27 uniques)	4452 (27 uniques)	4452 (27 uniques)	4411 (24 uniques)	4411 (24 uniques)	4411 (24 uniques)	4411 (24 uniques)
SCTLD_DNA_plate_1_A1_S161_L001	72261	53746	53746	53746 (22029 uniques)	52360 (726 uniques)	49432 (588 uniques)	47951 (511 uniques)	47828 (504 uniques)	47828 (504 uniques)	47828 (469 uniques)	38957 (430 uniques)	38955 (429 uniques)	38955 (429 uniques)	38955 (426 uniques)
SCTLD_DNA_plate_1_G1_S162_L001	59876	47178	47178	47178 (22690 uniques)	45483 (862 uniques)	42021 (659 uniques)	40626 (608 uniques)	40617 (607 uniques)	40617 (607 uniques)	40617 (574 uniques)	32949 (530 uniques)	32949 (530 uniques)	32949 (530 uniques)	32949 (529 uniques)
SCTLD_DNA_plate_1_H1_S163_L001	69788	53124	53124	53124 (23554 uniques)	51673 (841 uniques)	48256 (674 uniques)	45099 (560 uniques)	45099 (560 uniques)	45099 (560 uniques)	45099 (534 uniques)	37625 (486 uniques)	37619 (483 uniques)	37619 (483 uniques)	37619 (483 uniques)
SCTLD_DNA_plate_2_A1_S164_L001	68819	54097	54097	54097 (20817 uniques)	53354 (416 uniques)	51307 (397 uniques)	46957 (291 uniques)	46731 (286 uniques)	46731 (286 uniques)	46731 (270 uniques)	41334 (239 uniques)	41332 (238 uniques)	41332 (238 uniques)	41332 (236 uniques)
SCTLD_DNA_plate_2_H1_S165_L001	81473	60489	60489	60489 (24037 uniques)	60324 (91 uniques)	59603 (156 uniques)	2449 (57 uniques)	2449 (57 uniques)	2449 (57 uniques)	2449 (55 uniques)	1807 (52 uniques)	1807 (52 uniques)	1807 (52 uniques)	1807 (52 uniques)
SCTLD_DNA_plate_2_H2_S166_L001	64124	47113	47113	47113 (19828 uniques)	46907 (102 uniques)	46712 (161 uniques)	10257 (61 uniques)	10245 (60 uniques)	10245 (60 uniques)	10245 (57 uniques)	9737 (53 uniques)	9737 (53 uniques)	9737 (53 uniques)	9737 (53 uniques)
SCTLD_DNA_plate_3_A12_S168_L001	52338	42054	42054	42054 (18832 uniques)	40901 (664 uniques)	38606 (537 uniques)	37061 (466 uniques)	37018 (464 uniques)	37018 (464 uniques)	37018 (443 uniques)	28923 (416 uniques)	28923 (416 uniques)	28923 (416 uniques)	28923 (414 uniques)
SCTLD_DNA_plate_3_A1_S167_L001	56969	44689	44689	44689 (21837 uniques)	43052 (879 uniques)	39593 (678 uniques)	39039 (636 uniques)	39039 (636 uniques)	39039 (636 uniques)	39039 (588 uniques)	33372 (558 uniques)	33368 (556 uniques)	33368 (556 uniques)	33368 (553 uniques)
