	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-Clustering_99	9-TaxaFilter_99	10-MultipletonsFilter_99	11-Subsampling	12-Lulu_99
INI_DL22_41_S291_L001	25035	20785	20785	20785 (8332 uniques)	20352 (295 uniques)	19548 (269 uniques)	18359 (212 uniques)	18341 (211 uniques)	18341 (211 uniques)	18341 (207 uniques)	14651 (193 uniques)	14651 (193 uniques)	14651 (193 uniques)	14651 (190 uniques)
INI_DL22_42_S292_L001	30137	22963	22963	22963 (11085 uniques)	22274 (420 uniques)	20855 (337 uniques)	20121 (303 uniques)	20121 (303 uniques)	20121 (303 uniques)	20121 (284 uniques)	16766 (256 uniques)	16766 (256 uniques)	16766 (256 uniques)	16766 (254 uniques)
INI_DL22_43_S293_L001	39394	31514	31514	31514 (15734 uniques)	30437 (584 uniques)	28567 (477 uniques)	27746 (440 uniques)	27746 (440 uniques)	27746 (440 uniques)	27746 (419 uniques)	24272 (384 uniques)	24272 (384 uniques)	24272 (384 uniques)	24272 (381 uniques)
INI_DL22_44_S294_L001	40761	32852	32852	32852 (13718 uniques)	31834 (432 uniques)	30276 (347 uniques)	29267 (298 uniques)	29187 (295 uniques)	29187 (295 uniques)	29187 (280 uniques)	26750 (262 uniques)	26748 (261 uniques)	26748 (261 uniques)	26748 (259 uniques)
INI_DL22_45_S295_L001	37536	28964	28964	28964 (13845 uniques)	28236 (508 uniques)	26460 (465 uniques)	23181 (362 uniques)	23176 (361 uniques)	23176 (361 uniques)	23176 (344 uniques)	20466 (314 uniques)	20466 (314 uniques)	20466 (314 uniques)	20466 (311 uniques)
INI_DL22_46_S296_L001	54724	42653	42653	42653 (17968 uniques)	41713 (703 uniques)	39321 (601 uniques)	36237 (490 uniques)	36159 (486 uniques)	36159 (486 uniques)	36159 (460 uniques)	32814 (421 uniques)	32814 (421 uniques)	32814 (421 uniques)	32814 (418 uniques)
INI_DL22_47_S297_L001	25964	20380	20380	20380 (9660 uniques)	19745 (382 uniques)	18598 (308 uniques)	18000 (290 uniques)	17998 (289 uniques)	17998 (289 uniques)	17998 (283 uniques)	16335 (257 uniques)	16333 (256 uniques)	16333 (256 uniques)	16333 (256 uniques)
INI_DL22_49_S298_L001	35243	27813	27813	27813 (12974 uniques)	27104 (469 uniques)	25681 (409 uniques)	24765 (358 uniques)	24765 (358 uniques)	24765 (358 uniques)	24765 (345 uniques)	17243 (314 uniques)	17243 (314 uniques)	17243 (314 uniques)	17243 (313 uniques)
INI_DL22_4_S256_L001	40944	31684	31684	31684 (15727 uniques)	30602 (601 uniques)	28385 (508 uniques)	26888 (418 uniques)	26888 (418 uniques)	26888 (418 uniques)	26888 (401 uniques)	22094 (371 uniques)	22094 (371 uniques)	22094 (371 uniques)	22094 (368 uniques)
INI_DL22_50_S299_L001	37865	30235	30235	30235 (15135 uniques)	29292 (612 uniques)	27474 (495 uniques)	26185 (444 uniques)	26185 (444 uniques)	26185 (444 uniques)	26185 (430 uniques)	23050 (402 uniques)	23048 (401 uniques)	23048 (401 uniques)	23048 (399 uniques)
INI_DL22_51_S300_L001	31651	25005	25005	25005 (11916 uniques)	24131 (489 uniques)	22432 (404 uniques)	21322 (353 uniques)	21322 (353 uniques)	21322 (353 uniques)	21322 (343 uniques)	17405 (316 uniques)	17405 (316 uniques)	17405 (316 uniques)	17405 (316 uniques)
INI_DL22_52_S301_L001	27465	21773	21773	21773 (11671 uniques)	20840 (488 uniques)	19339 (370 uniques)	18949 (360 uniques)	18947 (359 uniques)	18947 (359 uniques)	18947 (350 uniques)	15758 (317 uniques)	15758 (317 uniques)	15758 (317 uniques)	15758 (316 uniques)
INI_DL22_55_S302_L001	27658	22461	22461	22461 (10768 uniques)	21552 (465 uniques)	20158 (363 uniques)	19688 (341 uniques)	19682 (340 uniques)	19682 (340 uniques)	19682 (329 uniques)	17502 (309 uniques)	17502 (309 uniques)	17502 (309 uniques)	17502 (305 uniques)
INI_DL22_56_S303_L001	32387	26247	26247	26247 (11279 uniques)	25615 (417 uniques)	24479 (361 uniques)	23689 (316 uniques)	23689 (316 uniques)	23689 (316 uniques)	23689 (296 uniques)	19276 (276 uniques)	19276 (276 uniques)	19276 (276 uniques)	19276 (275 uniques)
INI_DL22_57_S304_L001	31204	24722	24722	24722 (11893 uniques)	23741 (527 uniques)	22055 (411 uniques)	21616 (385 uniques)	21614 (384 uniques)	21614 (384 uniques)	21614 (367 uniques)	18933 (336 uniques)	18933 (336 uniques)	18933 (336 uniques)	18933 (336 uniques)
INI_DL22_5_S257_L001	67063	52571	52571	52571 (24228 uniques)	51305 (800 uniques)	48260 (697 uniques)	45143 (580 uniques)	45143 (580 uniques)	45143 (580 uniques)	45143 (539 uniques)	42373 (503 uniques)	42373 (503 uniques)	42373 (503 uniques)	42373 (500 uniques)
INI_DL22_6_S258_L001	47103	39537	39537	39537 (17601 uniques)	38797 (456 uniques)	37536 (464 uniques)	34402 (366 uniques)	34402 (366 uniques)	34402 (366 uniques)	34402 (350 uniques)	29592 (326 uniques)	29590 (325 uniques)	29590 (325 uniques)	29590 (324 uniques)
INI_DL22_7_S259_L001	54806	44262	44262	44262 (20689 uniques)	43199 (722 uniques)	40877 (640 uniques)	38712 (541 uniques)	38674 (539 uniques)	38674 (539 uniques)	38674 (500 uniques)	31117 (462 uniques)	31117 (462 uniques)	31117 (462 uniques)	31117 (458 uniques)
INI_DL22_8_S260_L001	71159	56757	56757	56757 (24149 uniques)	56223 (405 uniques)	54622 (399 uniques)	42040 (295 uniques)	41881 (288 uniques)	41881 (288 uniques)	41881 (277 uniques)	34524 (244 uniques)	34522 (243 uniques)	34522 (243 uniques)	34522 (243 uniques)
INI_PS22_10_S232_L001	47628	38489	38489	38489 (17881 uniques)	37213 (756 uniques)	34712 (606 uniques)	34408 (589 uniques)	34399 (588 uniques)	34399 (588 uniques)	34399 (554 uniques)	32026 (529 uniques)	32026 (529 uniques)	32026 (529 uniques)	32026 (524 uniques)
INI_PS22_11_S233_L001	55922	43296	43296	43296 (18938 uniques)	42022 (670 uniques)	39070 (500 uniques)	38449 (462 uniques)	38393 (460 uniques)	38393 (460 uniques)	38393 (426 uniques)	35605 (394 uniques)	35603 (393 uniques)	35603 (393 uniques)	35603 (390 uniques)
INI_PS22_12_S234_L001	61802	47710	47710	47710 (20374 uniques)	46711 (735 uniques)	44107 (621 uniques)	42252 (528 uniques)	42157 (525 uniques)	42157 (525 uniques)	42157 (491 uniques)	37572 (458 uniques)	37570 (457 uniques)	37570 (457 uniques)	37570 (451 uniques)
INI_PS22_13_S235_L001	68292	52778	52778	52778 (26523 uniques)	51042 (950 uniques)	46857 (769 uniques)	45054 (670 uniques)	45021 (668 uniques)	45021 (668 uniques)	45021 (622 uniques)	41284 (583 uniques)	41280 (581 uniques)	41280 (581 uniques)	41280 (578 uniques)
INI_PS22_14_S236_L001	43569	34011	34011	34011 (17763 uniques)	32627 (721 uniques)	29511 (526 uniques)	29266 (508 uniques)	29256 (507 uniques)	29256 (507 uniques)	29256 (480 uniques)	27164 (458 uniques)	27162 (457 uniques)	27162 (457 uniques)	27162 (455 uniques)
INI_PS22_15_S237_L001	36886	28419	28419	28419 (13478 uniques)	27410 (590 uniques)	25264 (479 uniques)	24400 (421 uniques)	24383 (420 uniques)	24383 (420 uniques)	24383 (387 uniques)	17134 (360 uniques)	17134 (360 uniques)	17134 (360 uniques)	17134 (360 uniques)
INI_PS22_16_S238_L001	40912	31337	31337	31337 (13993 uniques)	30252 (582 uniques)	27911 (422 uniques)	27514 (401 uniques)	27498 (400 uniques)	27498 (400 uniques)	27498 (372 uniques)	23805 (353 uniques)	23799 (350 uniques)	23799 (350 uniques)	23799 (348 uniques)
INI_PS22_17_S239_L001	43100	33922	33922	33922 (14798 uniques)	32632 (627 uniques)	30125 (453 uniques)	30025 (438 uniques)	29970 (436 uniques)	29970 (436 uniques)	29970 (416 uniques)	28533 (390 uniques)	28533 (390 uniques)	28533 (390 uniques)	28533 (387 uniques)
INI_PS22_18_S240_L001	53326	42546	42546	42546 (19507 uniques)	41044 (823 uniques)	37984 (638 uniques)	37501 (599 uniques)	37496 (598 uniques)	37496 (598 uniques)	37496 (557 uniques)	31635 (522 uniques)	31629 (519 uniques)	31629 (519 uniques)	31629 (516 uniques)
INI_PS22_19_S241_L001	34284	27894	27894	27894 (12690 uniques)	27417 (317 uniques)	26414 (329 uniques)	22264 (228 uniques)	22258 (227 uniques)	22258 (227 uniques)	22258 (220 uniques)	18559 (202 uniques)	18559 (202 uniques)	18559 (202 uniques)	18559 (202 uniques)
INI_PS22_1_S223_L001	68383	54099	54099	54099 (23688 uniques)	52587 (937 uniques)	48730 (693 uniques)	48108 (654 uniques)	48014 (650 uniques)	48014 (650 uniques)	48014 (619 uniques)	45463 (581 uniques)	45463 (581 uniques)	45463 (581 uniques)	45463 (574 uniques)
INI_PS22_20_S242_L001	45058	36572	36572	36572 (17542 uniques)	35328 (599 uniques)	33126 (482 uniques)	32284 (438 uniques)	32284 (438 uniques)	32284 (438 uniques)	32284 (416 uniques)	26125 (384 uniques)	26125 (384 uniques)	26125 (384 uniques)	26125 (382 uniques)
INI_PS22_21_S243_L001	47955	37790	37790	37790 (17200 uniques)	36681 (487 uniques)	34963 (420 uniques)	33565 (350 uniques)	33527 (349 uniques)	33527 (349 uniques)	33527 (331 uniques)	25546 (311 uniques)	25546 (311 uniques)	25546 (311 uniques)	25546 (310 uniques)
INI_PS22_22_S244_L001	50182	39544	39544	39544 (19454 uniques)	38333 (668 uniques)	35862 (563 uniques)	33971 (469 uniques)	33947 (466 uniques)	33947 (466 uniques)	33947 (442 uniques)	27584 (409 uniques)	27584 (409 uniques)	27584 (409 uniques)	27584 (405 uniques)
INI_PS22_23_S245_L001	50718	40151	40151	40151 (18450 uniques)	39197 (717 uniques)	36485 (618 uniques)	34365 (508 uniques)	34350 (506 uniques)	34350 (506 uniques)	34350 (472 uniques)	32083 (432 uniques)	32083 (432 uniques)	32083 (432 uniques)	32083 (429 uniques)
INI_PS22_24_S246_L001	49646	38598	38598	38598 (17657 uniques)	38049 (479 uniques)	36297 (432 uniques)	33660 (338 uniques)	33660 (338 uniques)	33660 (338 uniques)	33660 (325 uniques)	29256 (302 uniques)	29254 (301 uniques)	29254 (301 uniques)	29254 (300 uniques)
INI_PS22_25_S247_L001	40828	33437	33437	33437 (16092 uniques)	32549 (614 uniques)	30694 (541 uniques)	29224 (462 uniques)	29216 (461 uniques)	29216 (461 uniques)	29216 (432 uniques)	23168 (403 uniques)	23166 (402 uniques)	23166 (402 uniques)	23166 (400 uniques)
INI_PS22_26_S248_L001	45801	35942	35942	35942 (17035 uniques)	35362 (275 uniques)	34228 (290 uniques)	24620 (188 uniques)	24561 (185 uniques)	24561 (185 uniques)	24561 (179 uniques)	20112 (157 uniques)	20112 (157 uniques)	20112 (157 uniques)	20112 (157 uniques)
INI_PS22_27_S249_L001	60926	48559	48559	48559 (20671 uniques)	47575 (565 uniques)	45578 (463 uniques)	44667 (417 uniques)	44549 (412 uniques)	44549 (412 uniques)	44549 (397 uniques)	39535 (370 uniques)	39535 (370 uniques)	39535 (370 uniques)	39535 (366 uniques)
INI_PS22_28_S250_L001	39547	31510	31510	31510 (14441 uniques)	30550 (486 uniques)	28743 (390 uniques)	27668 (340 uniques)	27668 (340 uniques)	27668 (340 uniques)	27668 (327 uniques)	22835 (313 uniques)	22833 (312 uniques)	22833 (312 uniques)	22833 (311 uniques)
INI_PS22_29_S251_L001	71638	57682	57682	57682 (26355 uniques)	56367 (767 uniques)	53551 (647 uniques)	52683 (592 uniques)	52683 (592 uniques)	52683 (592 uniques)	52683 (552 uniques)	44987 (504 uniques)	44985 (503 uniques)	44985 (503 uniques)	44985 (501 uniques)
INI_PS22_2_S224_L001	46630	35444	35444	35444 (14962 uniques)	34311 (585 uniques)	31435 (428 uniques)	30677 (387 uniques)	30653 (386 uniques)	30653 (386 uniques)	30653 (362 uniques)	27778 (334 uniques)	27774 (332 uniques)	27774 (332 uniques)	27774 (327 uniques)
INI_PS22_30_S252_L001	49096	37650	37650	37650 (15887 uniques)	36872 (370 uniques)	35131 (331 uniques)	33307 (253 uniques)	33250 (250 uniques)	33250 (250 uniques)	33250 (236 uniques)	25088 (218 uniques)	25088 (218 uniques)	25088 (218 uniques)	25088 (216 uniques)
INI_PS22_3_S225_L001	51228	37300	37300	37300 (12245 uniques)	36212 (469 uniques)	34178 (318 uniques)	33937 (306 uniques)	33766 (297 uniques)	33766 (297 uniques)	33766 (287 uniques)	30378 (266 uniques)	30374 (264 uniques)	30374 (264 uniques)	30374 (261 uniques)
INI_PS22_4_S226_L001	46399	35437	35437	35437 (14240 uniques)	34402 (635 uniques)	31563 (436 uniques)	31133 (414 uniques)	31079 (412 uniques)	31079 (412 uniques)	31079 (380 uniques)	28339 (355 uniques)	28339 (355 uniques)	28339 (355 uniques)	28339 (354 uniques)
INI_PS22_5_S227_L001	39177	29670	29670	29670 (13340 uniques)	28513 (577 uniques)	26139 (408 uniques)	25768 (393 uniques)	25698 (390 uniques)	25698 (390 uniques)	25698 (374 uniques)	24013 (350 uniques)	24011 (349 uniques)	24011 (349 uniques)	24011 (348 uniques)
